,Date&Time,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_10,feature_11,feature_12,feature_13,target
155,2021-01-07 11:00:00,,,,,,,,,,,,3,0.0
156,2021-01-07 12:00:00,,,,,,,,,,,,3,0.0
157,2021-01-07 13:00:00,,,,,,,,,,,,3,0.0
158,2021-01-07 14:00:00,,,,,,,,,,,,3,0.0
159,2021-01-07 15:00:00,,,,,,,,,,,,3,0.0
160,2021-01-07 16:00:00,,,,,,,,,,,,3,0.0
161,2021-01-07 17:00:00,,,,,,,,,,,,3,0.0
162,2021-01-07 18:00:00,,,,,,,,,,,,3,0.0
163,2021-01-07 19:00:00,,,,,,,,,,,,3,0.0
164,2021-01-07 20:00:00,,,,,,,,,,,,3,0.0
165,2021-01-07 21:00:00,,,,,,,,,,,,3,0.0
166,2021-01-07 22:00:00,,,,,,,,,,,,3,0.0
167,2021-01-07 23:00:00,,,,,,,,,,,,3,0.0
168,2021-01-08 00:00:00,,,,,,,,,,,,4,0.0
169,2021-01-08 01:00:00,,,,,,,,,,,,4,0.0
170,2021-01-08 02:00:00,,,,,,,,,,,,4,0.0
171,2021-01-08 03:00:00,,,,,,,,,,,,4,0.0
172,2021-01-08 04:00:00,,,,,,,,,,,,4,0.0
173,2021-01-08 05:00:00,,,,,,,,,,,,4,0.0
174,2021-01-08 06:00:00,,,,,,,,,,,,4,0.0
175,2021-01-08 07:00:00,,,,,,,,,,,,4,0.0
176,2021-01-08 08:00:00,,,,,,,,,,,,4,0.0
177,2021-01-08 09:00:00,,,,,,,,,,,,4,0.0
178,2021-01-08 10:00:00,,,,,,,,,,,,4,0.0
179,2021-01-08 11:00:00,,,,,,,,,,,,4,0.0
180,2021-01-08 12:00:00,,,,,,,,,,,,4,0.0
181,2021-01-08 13:00:00,,,,,,,,,,,,4,0.0
182,2021-01-08 14:00:00,,,,,,2568.5303900000004,,,,,,4,0.0
183,2021-01-08 15:00:00,,,,,,,,,,,,4,0.0
184,2021-01-08 16:00:00,,,,,,,,,,,,4,0.0
185,2021-01-08 17:00:00,,,,,,,,,,,,4,0.0
186,2021-01-08 18:00:00,,,,,,,,,,,,4,0.0
187,2021-01-08 19:00:00,,,,,,,,,,,,4,0.0
188,2021-01-08 20:00:00,,,,,,,,,,,,4,0.0
189,2021-01-08 21:00:00,,,,,,,,,,,,4,0.0
190,2021-01-08 22:00:00,,,,,,,,,,,,4,0.0
191,2021-01-08 23:00:00,,,,,,,,,,,,4,0.0
192,2021-01-09 00:00:00,,,,,,,,,,,,5,0.0
193,2021-01-09 01:00:00,,,,,,,,,,,,5,0.0
194,2021-01-09 02:00:00,,,,,,,,,,,,5,0.0
